epoch,step,train_loss_step,val_loss_step
0,49,0.5302290320396423,
0,99,0.1055850014090538,
0,149,0.14986775815486908,
0,199,0.12157650291919708,
0,249,0.13034899532794952,
0,299,0.12132883071899414,
0,349,0.12478363513946533,
0,399,0.11873866617679596,
0,449,0.13633336126804352,
0,499,0.092690609395504,
0,549,0.08239778876304626,
0,599,0.1281702220439911,
0,649,0.10463697463274002,
0,699,0.1325104534626007,
0,749,0.05899912118911743,
0,799,0.08498323708772659,
0,849,0.04103273153305054,
0,899,0.0492912121117115,
0,949,0.07360237091779709,
0,999,0.07162351906299591,
,0,,0.2711206078529358
,1,,0.15318521857261658
,2,,0.164214089512825
,3,,0.1748620718717575
,4,,0.26882487535476685
,5,,0.15027004480361938
,6,,0.15975810587406158
,7,,0.16115312278270721
,8,,0.18466196954250336
,9,,0.1649850457906723
,10,,0.12921783328056335
,11,,0.19005128741264343
,12,,0.15005236864089966
,13,,0.14398033916950226
,14,,0.25926902890205383
,15,,0.15199030935764313
,16,,0.14018192887306213
,17,,0.24481616914272308
,18,,0.15339002013206482
,19,,0.1421659290790558
,20,,0.1635679453611374
,21,,0.17985260486602783
,22,,0.1517937332391739
,23,,0.14461272954940796
,24,,0.155540332198143
,25,,0.1834692656993866
,26,,0.1654142141342163
,27,,0.1308276653289795
,28,,0.1637485921382904
,29,,0.15140144526958466
,30,,0.16549576818943024
,31,,0.15094085037708282
,32,,0.13178494572639465
,33,,0.2626851499080658
,34,,0.12775401771068573
,35,,0.1453913152217865
,36,,0.12991520762443542
,37,,0.15685410797595978
,38,,0.1414165198802948
,39,,0.1573784351348877
,40,,0.14958064258098602
,41,,0.1280910223722458
,42,,0.2590644657611847
,43,,0.1717245727777481
,44,,0.2435758262872696
,45,,0.1634107381105423
,46,,0.136378675699234
,47,,0.12912537157535553
,48,,0.1435723602771759
,49,,0.12902119755744934
,50,,0.14869177341461182
,51,,0.1653629094362259
,52,,0.21591991186141968
,53,,0.16810965538024902
,54,,0.1628093421459198
,55,,0.268471896648407
,56,,0.18848073482513428
,57,,0.1424790322780609
,58,,0.2741531729698181
,59,,0.1443147212266922
,60,,0.1441192775964737
,61,,0.16721467673778534
,62,,0.13448160886764526
,63,,0.16359643638134003
,64,,0.16300606727600098
,65,,0.18306849896907806
,66,,0.1689816117286682
,67,,0.18198005855083466
,68,,0.12788653373718262
,69,,0.14331071078777313
,70,,0.15701784193515778
,71,,0.14030854403972626
,72,,0.14495424926280975
,73,,0.12847554683685303
,74,,0.1646094024181366
,75,,0.185148224234581
,76,,0.1984802484512329
,77,,0.15828926861286163
,78,,0.14235569536685944
,79,,0.1605890393257141
,80,,0.14485539495944977
,81,,0.17661616206169128
,82,,0.1416637897491455
,83,,0.12677203118801117
,84,,0.2083009034395218
,85,,0.14271052181720734
